Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jun 1, 2013",492.00,502.70,347.35,371.95,267.12,"2,024,875"
"May 1, 2013",374.15,514.05,369.00,487.20,349.89,"5,370,107"
"Apr 1, 2013",389.05,403.95,352.80,374.15,268.70,"944,150"
"Mar 1, 2013",370.00,408.00,366.05,391.60,281.23,"1,914,425"
"Feb 1, 2013",370.00,384.80,337.20,378.75,272.01,"1,434,105"
"Jan 17, 2013",17.00 Dividend
"Jan 1, 2013",384.55,419.00,344.70,372.95,256.45,"4,142,413"
"Dec 1, 2012",390.00,411.90,372.30,384.40,264.33,"2,873,152"
"Nov 1, 2012",394.95,405.00,373.90,388.15,266.90,"1,311,505"
"Oct 1, 2012",408.50,430.00,378.00,387.05,266.15,"4,880,698"
"Sep 1, 2012",381.00,411.15,369.45,402.40,276.70,"2,202,420"
"Aug 1, 2012",397.05,416.40,357.50,384.60,264.46,"2,164,110"
"Jul 1, 2012",373.85,406.40,366.10,397.70,273.47,"5,347,979"
"Jun 1, 2012",373.00,379.90,316.85,370.00,254.42,"4,665,870"
"May 1, 2012",369.00,408.70,363.70,375.00,257.86,"2,268,270"
"Apr 1, 2012",408.00,419.60,357.15,369.30,253.94,"2,164,571"
"Mar 1, 2012",432.55,439.90,358.65,405.10,278.56,"5,564,707"
"Feb 16, 2012",6.50 Dividend
"Feb 1, 2012",377.55,439.00,363.95,433.40,287.94,"10,994,773"
"Feb 15, 2012",6.50 Dividend
"Jan 1, 2012",300.00,388.30,299.10,377.45,250.77,"4,990,705"
"Dec 1, 2011",324.80,354.50,295.30,300.75,199.81,"5,814,026"
"Nov 1, 2011",342.00,358.00,278.25,324.80,215.79,"6,689,364"
"Oct 1, 2011",337.25,350.70,310.10,343.70,228.35,"3,035,315"
"Sep 1, 2011",353.90,366.25,277.85,343.75,228.38,"6,234,550"
"Aug 1, 2011",454.40,459.50,306.20,353.90,235.13,"12,269,428"
"Jul 1, 2011",424.60,475.90,420.10,448.45,297.94,"5,518,927"
"Jun 1, 2011",469.10,488.00,418.95,434.50,288.68,"3,908,655"
"May 1, 2011",470.95,482.05,403.35,468.30,311.13,"7,515,940"
"Apr 1, 2011",406.15,479.80,403.00,468.10,311.00,"7,592,412"
"Mar 1, 2011",443.00,474.80,373.60,415.25,275.89,"24,338,997"
"Feb 10, 2011",4.00 Dividend
"Feb 1, 2011",674.65,695.00,421.10,431.50,284.90,"20,206,049"
"Jan 1, 2011",681.00,711.40,637.50,674.65,445.44,"6,336,609"
"Dec 1, 2010",612.00,696.00,575.55,672.80,444.22,"6,493,447"
"Nov 1, 2010",614.45,625.80,546.75,610.85,403.32,"11,253,746"
"Oct 1, 2010",628.00,672.00,601.15,610.40,403.02,"6,349,739"
"Sep 1, 2010",624.60,667.95,615.60,621.70,410.48,"8,582,596"
"Aug 1, 2010",592.00,637.20,567.25,620.80,409.89,"12,236,547"
"Jul 1, 2010",555.00,644.80,554.20,590.85,390.11,"8,653,653"
"Jun 1, 2010",570.00,613.00,543.20,563.50,372.05,"11,652,541"
"May 1, 2010",672.00,696.30,560.00,571.85,377.57,"12,794,610"
"Apr 1, 2010",621.00,687.20,615.00,680.75,449.47,"12,153,769"
"Mar 1, 2010",662.95,689.00,610.00,620.45,409.66,"14,590,403"
"Feb 10, 2010",3.50 Dividend
"Feb 1, 2010",657.25,780.00,655.50,662.95,435.60,"14,275,342"
"Jan 1, 2010",723.00,753.00,634.00,678.60,445.88,"13,212,479"
"Dec 1, 2009",687.00,748.20,662.05,724.20,475.84,"16,325,972"
"Nov 1, 2009",674.00,796.50,644.50,677.00,444.83,"21,137,100"
"Oct 1, 2009",660.00,705.90,605.25,675.60,443.91,"15,836,455"
"Sep 1, 2009",596.10,672.55,552.40,666.90,438.19,"21,532,714"
"Aug 1, 2009",480.00,604.00,460.30,556.80,365.85,"31,046,790"
"Jul 1, 2009",393.00,504.95,332.00,477.00,313.42,"15,856,357"
"Jun 1, 2009",338.00,416.05,283.40,387.15,254.38,"9,185,797"
"May 1, 2009",224.50,342.00,218.10,336.90,221.36,"9,205,503"
"Apr 1, 2009",199.15,242.40,195.10,224.50,147.51,"4,570,680"
"Mar 1, 2009",165.90,210.00,162.75,203.25,133.55,"15,219,804"
"Feb 1, 2009",149.00,178.85,141.00,168.50,110.71,"4,992,712"
"Jan 22, 2009",2.00 Dividend
"Jan 1, 2009",158.80,175.00,141.85,149.85,97.15,"2,329,662"
"Dec 1, 2008",155.50,174.95,138.25,155.60,100.87,"2,073,207"
"Nov 1, 2008",160.25,175.35,146.50,151.90,98.48,"3,789,880"
"Oct 1, 2008",191.50,201.90,115.60,160.60,104.12,"3,060,143"
"Sep 1, 2008",240.00,253.00,165.00,187.90,121.81,"4,093,270"
"Aug 1, 2008",207.50,247.00,203.05,242.80,157.40,"4,822,440"
"Jul 16, 2008",3.30 Dividend
"Jul 1, 2008",213.05,220.00,173.00,209.50,133.51,"5,990,142"
"Jun 1, 2008",240.00,254.20,210.00,216.50,137.98,"5,284,896"
"May 1, 2008",230.40,259.85,200.10,237.55,151.39,"12,356,667"
"Apr 1, 2008",200.00,250.00,191.00,230.40,146.83,"2,887,471"
"Mar 1, 2008",226.30,232.00,150.10,201.75,128.57,"4,220,283"
"Feb 1, 2008",224.00,285.00,214.00,230.00,146.58,"6,022,612"
"Jan 1, 2008",265.00,316.40,200.00,215.75,137.50,"5,789,228"
"Dec 1, 2007",278.10,310.00,265.00,308.15,196.38,"3,254,678"
"Nov 1, 2007",310.00,319.20,261.20,285.60,182.01,"3,256,598"
"Oct 1, 2007",289.70,315.00,236.45,310.65,197.98,"8,565,282"
"Sep 7, 2007",3.00 Dividend
"Sep 1, 2007",290.10,314.00,262.65,285.95,180.45,"8,524,290"
"Aug 1, 2007",280.00,309.00,262.40,293.35,185.12,"12,940,325"
"Jul 1, 2007",330.00,335.90,246.30,282.60,178.34,"15,172,877"
"Jun 1, 2007",308.00,334.40,300.90,328.50,207.30,"10,606,165"
"May 1, 2007",313.75,340.60,292.00,306.40,193.36,"13,821,595"
"Apr 1, 2007",275.00,325.00,265.50,313.75,197.99,"9,925,738"
"Mar 1, 2007",260.00,298.45,236.55,282.75,178.43,"15,772,404"
"Feb 1, 2007",280.00,339.90,255.00,259.00,163.44,"24,127,032"
"Jan 1, 2007",303.75,320.00,279.00,279.85,176.60,"16,157,408"
"Dec 1, 2006",268.00,306.10,220.00,303.75,191.68,"34,110,616"
"Nov 1, 2006",227.55,291.45,209.50,262.75,165.81,"25,925,903"
"Oct 1, 2006",185.35,238.25,183.10,227.55,143.60,"18,147,165"
"Sep 1, 2006",177.00,194.95,172.50,185.35,116.97,"11,080,725"
"Aug 24, 2006",3.00 Dividend
"Aug 1, 2006",150.00,195.00,146.35,176.30,109.41,"23,328,261"
"Jul 1, 2006",153.00,167.90,123.10,154.70,96.01,"19,763,411"
"Jun 1, 2006",190.00,194.00,138.10,151.75,94.18,"5,355,519"
"May 1, 2006",200.00,208.00,175.00,191.00,118.54,"5,603,344"
"Apr 1, 2006",206.55,224.40,185.10,200.15,124.22,"9,668,994"
"Mar 1, 2006",170.25,216.00,170.25,208.45,129.37,"19,832,617"
"Feb 1, 2006",174.95,185.00,168.50,173.60,107.74,"7,015,541"
"Jan 1, 2006",145.25,175.55,145.25,173.50,107.68,"13,178,186"
"Dec 1, 2005",141.00,155.55,138.00,149.10,92.53,"13,695,561"
"Nov 11, 2005",2:1 Stock Splits
"Nov 1, 2005",127.50,145.80,123.50,139.15,86.36,"17,603,914"
"Oct 1, 2005",127.00,136.00,120.00,123.50,76.65,"27,656,328"
"Sep 22, 2005",1.50 Dividend
"Sep 1, 2005",129.50,131.50,118.00,125.00,76.67,"29,926,092"
"Aug 1, 2005",135.00,140.50,117.50,127.00,77.89,"44,836,144"
"Jul 1, 2005",140.00,163.50,127.50,130.00,79.73,"29,405,932"
"Jun 1, 2005",130.00,148.50,130.00,138.00,84.64,"37,367,958"
"May 1, 2005",112.50,139.00,106.00,130.50,80.04,"18,820,824"
"Apr 1, 2005",113.50,139.50,109.50,110.00,67.47,"20,590,440"
"Mar 1, 2005",123.00,129.50,106.50,111.50,68.39,"7,998,996"
"Feb 1, 2005",136.00,149.00,119.00,123.00,75.44,"8,301,952"
"Jan 1, 2005",142.00,145.50,114.00,132.50,81.27,"10,633,080"
"Dec 1, 2004",144.00,152.00,133.50,140.00,85.87,"10,478,356"
"Nov 1, 2004",136.50,146.00,112.50,142.00,87.09,"9,567,056"
"Oct 1, 2004",150.00,164.00,132.50,135.00,82.80,"15,303,584"
"Sep 1, 2004",135.50,160.00,134.00,149.00,91.39,"8,521,884"
"Aug 1, 2004",146.00,146.50,129.50,134.50,82.49,"2,792,236"
"Jul 1, 2004",127.00,152.50,126.00,145.00,88.93,"7,665,780"
"Jun 1, 2004",127.00,131.50,114.00,129.00,79.12,"1,698,408"
"May 26, 2004",2:1 Stock Splits
"May 1, 2004",123.25,137.50,98.75,124.50,76.36,"7,946,224"
"Apr 1, 2004",136.50,163.50,120.00,122.50,75.13,"15,124,548"
"Mar 1, 2004",158.50,167.50,131.25,136.00,83.41,"6,368,464"
"Feb 1, 2004",150.25,166.50,136.50,155.50,95.37,"3,768,640"
"Jan 1, 2004",199.25,202.25,148.75,150.25,92.15,"18,283,328"
"Dec 1, 2003",147.50,199.75,137.75,190.00,116.53,"6,984,208"
"Nov 1, 2003",136.50,148.75,116.00,143.25,87.86,"11,548,848"
"Oct 1, 2003",121.75,137.50,117.50,136.00,83.41,"18,959,136"
"Sep 1, 2003",96.25,124.25,90.25,118.75,72.83,"14,043,712"
"Aug 1, 2003",88.75,100.50,70.25,92.50,56.73,"10,435,904"
"Jul 2, 2003",2:1 Stock Splits
"Jul 1, 2003",81.13,93.75,76.50,85.75,52.59,"13,554,464"
"Jun 1, 2003",70.75,79.88,67.63,79.00,48.45,"21,986,624"
"May 1, 2003",67.38,75.00,65.00,70.13,43.01,"22,542,656"
"Apr 1, 2003",81.88,84.63,65.63,67.38,41.32,"80,391,040"
"Mar 1, 2003",90.50,91.25,75.63,80.88,49.60,"11,375,368"
"Feb 1, 2003",85.75,93.50,83.75,89.50,54.89,"25,927,360"
"Jan 1, 2003",92.88,96.63,75.63,86.13,52.82,"88,780,032"
"Dec 1, 2002",76.38,94.38,76.25,89.50,54.89,"39,406,336"
"Nov 1, 2002",69.88,78.38,66.38,77.88,47.76,"32,128,064"
"Oct 1, 2002",60.63,74.25,60.63,69.88,42.86,"41,408,832"
"Sep 1, 2002",62.63,71.88,50.13,62.38,38.26,"14,509,888"
"Aug 1, 2002",46.88,62.50,45.00,61.50,37.72,"30,944,064"
"Jul 1, 2002",58.13,73.13,43.75,46.38,28.44,"29,806,976"
